Word(s),Spoken Form (If Different)
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
nmap,N map
under-documented,under documented
URL
HTTP
HTTPS
EA
CEA
epistemic
epistemics
dev
JP
asana,uh sauna
API
USD
GBP
AWS
parfit
aletheia
app
frontpage,front page
tech
async
torble
JWT
OKR
null
destructure
destructured
zap
